school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Hamilton Elementary,Hemet Unified,2005-06,551,Natural Disasters & Weather,Inclement Weather,"Unusual, heavy snow fall","March 13, 2006",2006,1,33670820107359,Riverside
Hamilton High,Hemet Unified,2005-06,478,Natural Disasters & Weather,Inclement Weather,"Unusual, heavy snow fall","March 13, 2006",2006,1,33670820106716,Riverside
Hanford Night (Continuation),Hanford Joint Union High,2005-06,35,Infrastructure,Facilities Issues,sewage system back-up into the school. Happened late afternoon and plumbing company didn't arrive until 6:30pm. Students were sent home as they arrived.,"April 3, 2006",2006,1,16639251630060,Kings
Hannalei Elementary,Vista Unified,2005-06,623,Student Safety,Protests,no emergency - closed due to imigration issue protests,"March 31, 2006",2006,1,37684520100933,San Diego
Hayfork Elementary,Mountain Valley Unified,2005-06,241,Natural Disasters & Weather,Inclement Weather,Snow storm caused unsafe roads.,"March 14, 2006",2006,1,53750286053730,Trinity
Hayfork High,Mountain Valley Unified,2005-06,137,Natural Disasters & Weather,Inclement Weather,Snow storm caused unsafe roads.,"March 14, 2006",2006,1,53750285337407,Trinity
Headwaters Community Day,Mt. Shasta Union Elementary,2005-06,2,Natural Disasters & Weather,Inclement Weather,Excessive snow and poor road conditions. I-5 closed by Cal Trans.,"March 6, 2006",2006,1,47704256114425,Siskiyou
Healdsburg High,Healdsburg Unified,2006-07,943,Student Safety,Threat of Violence,bomb threat,"October 25, 2006",2006,1,49753904932554,Sonoma
Hennessy Elementary,Grass Valley Elementary,2005-06,428,Natural Disasters & Weather,Inclement Weather,Impassable roads due to inclement weather,"March 14, 2006",2006,1,29663326027114,Nevada
Herbert C. Green Middle,Mother Lode Union Elementary,2005-06,558,Natural Disasters & Weather,Inclement Weather,Unsafe road conditions due to inclement weather/snow.,"March 2, 2006",2006,1,9619296005615,El Dorado
Herlong High,Fort Sage Unified,2005-06,73,Natural Disasters & Weather,Inclement Weather,"heavy snow, power outage, impassable roads, unsafe conditions","March 14, 2006",2006,1,18750361833409,Lassen
High Desert Academy,Eastern Sierra Unified,2005-06,9,Natural Disasters & Weather,Inclement Weather,Power outages due to inclement weather. No heat or power for two days.,"January 3-4, 2006",2006,2,26736682630069,Mono
Hillside Junior/Senior High,Mountain Empire Unified,2005-06,57,Natural Disasters & Weather,Inclement Weather,snow storm resulting in dangerous travel.,"March 13, 2006",2006,1,37682133730991,San Diego
Hoaglin-Zenia Elementary,Southern Trinity Joint Unified,2005-06,13,Natural Disasters & Weather,Inclement Weather,Power outage resulting in no electricity or water due to severe storm.,"January 3 and 4, 2006",2006,2,53738336053755,Trinity
Hoaglin-Zenia Elementary,Southern Trinity Joint Unified,2005-06,13,Infrastructure,Power Outage,School closure due to no electricity and water.,"March 13, 2006",2006,1,53738336053755,Trinity
Honeydew Elementary,Mattole Unified,2005-06,3,Natural Disasters & Weather,Inclement Weather,"power outage, road closure and no water","January 3 through 6, 2006",2006,4,12753826107874,Humboldt
Hoopa Community,Humboldt County Office of Education,2005-06,43,Natural Disasters & Weather,Inclement Weather,Power outage due to snow and high winds.,"March 10, 2006",2006,1,,Humboldt
Hoopa Valley Elementary,Klamath-Trinity Joint Unified,2005-06,451,Natural Disasters & Weather,Inclement Weather,"Area suffered from days of torrential rains, high winds, flooding mudslides, and falling trees that shut down all roads, power and water systems.","January 3 through 6, 2006",2006,4,12629016007967,Humboldt
Hoopa Valley Elementary,Klamath-Trinity Joint Unified,2005-06,451,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages.,"March 10, 2006",2006,1,12629016007967,Humboldt
Hoopa Valley High,Klamath-Trinity Joint Unified,2005-06,216,Natural Disasters & Weather,Inclement Weather,"Area suffered from days of torrential rains, high winds, flooding mudslides, and falling trees that shut down all roads, power and water systems.","January 3 through 6, 2006",2006,4,12629011234004,Humboldt
Hoopa Valley High,Klamath-Trinity Joint Unified,2005-06,216,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages.,"March 10, 2006",2006,1,12629011234004,Humboldt
Horicon Elementary,Horicon Elementary,2006-07,80,Infrastructure,Facilities Issues,"faulty heating unit tripped alarm system and took several hours to investigate. Per Barbara Tatman, school recently rebuilt and has had several issues.","December 7, 2006",2006,1,49707636051809,Sonoma
Horicon Elementary,Horicon Elementary,2006-07,80,Infrastructure,Facilities Issues,report of odor inspected and closed by fire marshall,"December 19 and 20, 2006, and January 4 and 5, 2007",2006,4,49707636051809,Sonoma
Horicon Elementary,Horicon Elementary,2006-07,80,Infrastructure,Power Outage,power outage,"September 20, 2006",2006,1,49707636051809,Sonoma
Hot Springs Elementary,Hot Springs Elementary,2005-06,22,Infrastructure,Power Outage,Power outage. Power not restored until 2:30 PM.,"May 16, 2006",2006,1,54719516054100,Tulare
Idyllwild Elementary,Hemet Unified,2005-06,335,Natural Disasters & Weather,Inclement Weather,"Unusual, heavy snow fall","March 13, 2006",2006,1,33670826032114,Riverside
Indian Creek Elementary,Mother Lode Union Elementary,2005-06,481,Natural Disasters & Weather,Inclement Weather,Unsafe road conditions due to inclement weather/snow.,"March 2, 2006",2006,1,9619296106678,El Dorado
Indian Diggings Elementary,Indian Diggings Elementary,2005-06,39,Natural Disasters & Weather,Inclement Weather,Impassable roads due to severe snow storm.,"March 2 and 3, 2006",2006,2,9618956005524,El Dorado
Indian Springs Elementary,Indian Springs Elementary,2005-06,19,Natural Disasters & Weather,Inclement Weather,Impassable roads due to snow storm.,"March 6, 2006",2006,1,45700376050389,Shasta
Indian Valley Elementary,Plumas Unified,2005-06,122,Natural Disasters & Weather,Inclement Weather,Excessive snowfall,"March 14, 2006",2006,1,32669696031421,Plumas
Indian Valley Elementary,Plumas Unified,2005-06,122,Student Safety,Dangerous Contamination,Contaminated drinking water from flooding caused by excessive rainfall.,"January 3, 2006",2006,1,,Plumas
Intermountain High,Kelseyville Unified,2005-06,6,Natural Disasters & Weather,Inclement Weather,Unexpected snowfall. Several bus routes were unable to run due to snow an dice on roads.,"March 3, 2006",2006,1,17640141730100,Lake
Inverness Elementary,Shoreline Unified,2005-06,36,Natural Disasters & Weather,Inclement Weather,Road conditions related to storm,"April 12, 2006",2006,1,21733616024947,Marin
Inverness Elementary,Shoreline Unified,2005-06,36,Natural Disasters & Weather,Inclement Weather,Road conditions related to storm.,"January 3, 2006",2006,1,21733616024947,Marin
Iowa Hill Elementary,Colfax Elementary,2005-06,4,Natural Disasters & Weather,Inclement Weather,Low snow levels for 3 days with impassable roads.,"March 2-3, and 14, 2006",2006,3,31667956104392,Placer
Jack Norton Elementary,Klamath-Trinity Joint Unified,2005-06,36,Natural Disasters & Weather,Inclement Weather,Road closure due to road collapse on State Route 169.,"February 13, 2006",2006,1,12629016007983,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2005-06,36,Natural Disasters & Weather,Inclement Weather,"Area suffered from days of torrential rains, high winds, flooding mudslides, and falling trees that shut down all roads, power and water systems.","January 3 through 6, 2006",2006,4,12629016007983,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2005-06,36,Natural Disasters & Weather,Inclement Weather,Severe snow storm causing power outages.,"March 10, 2006",2006,1,12629016007983,Humboldt
Jack Norton Elementary,Klamath-Trinity Joint Unified,2005-06,36,Natural Disasters & Weather,Inclement Weather,Road closure due to road collapse. One-way road slipped into river.,"March 16, 2006",2006,1,12629016007983,Humboldt
Jacobsen Middle,Tehachapi Unified,2005-06,1103,Natural Disasters & Weather,Inclement Weather,Dangerous road conditions caused by snow and ice.,"March 21, 2006",2006,1,15638266057426,Kern
Jacoby Creek Charter,Jacoby Creek Elementary,2005-06,419,Natural Disasters & Weather,Inclement Weather,"Severe winds and rain which blew over large trees, caused power outages, mud slides and damage to homes and roads.","January 2, 2006",2006,1,,
Jacumba Elementary,Mountain Empire Unified,2005-06,49,Natural Disasters & Weather,Inclement Weather,snow storm resulting in dangerous travel.,"March 13, 2006",2006,1,37682136038707,San Diego
Janesville Elementary,Janesville Union Elementary,2005-06,449,Natural Disasters & Weather,Inclement Weather,Snow storm made roads unsafe for buses to transport students to school.,"March 14, 2006",2006,1,18641056010730,Lassen
Jefferson High,Siskiyou Union High,2005-06,30,Natural Disasters & Weather,Inclement Weather,Excessive snow and road closure (I-5) CHP advisory of no travel unless absolutely necessary.,"March 6, 2006",2006,1,,
Jefferson Middle,Oceanside Unified,2005-06,1350,Natural Disasters & Weather,Inclement Weather,closed middle and high schools due to protests,"March 30 and 31, 2006",2006,2,37735696038830,San Diego
John Muir Charter,Nevada County Office of Education,2005-06,1245,Natural Disasters & Weather,Inclement Weather,Excess snow caused impassable roads,"March 14, 2006",2006,1,,Nevada
Juan Cabrillo Elementary,Santa Monica-Malibu Unified,2005-06,326,Wildfires,Sierra Fire 2006,Precautionary closure due to wildfires throughout the canyons of Malibu.,"February 8, 2006",2006,1,19649806022537,Los Angeles
Julian Elementary,Julian Union Elementary,2005-06,297,Natural Disasters & Weather,Inclement Weather,"severe winter storm conditions. Schools closed four days, 3/10, 3/13, 3/14 & 3/21, 2006, and the district is requesting two school closure days.","March 14 and 21, 2006",2006,2,37681636038327,San Diego
Julian High,Julian Union High,2005-06,220,Natural Disasters & Weather,Inclement Weather,Severe winter storms causing impassable roads.,"March 14 and 21, 2006",2006,2,37681713733219,San Diego
Julian Junior High,Julian Union Elementary,2005-06,103,Natural Disasters & Weather,Inclement Weather,"severe winter storm conditions. Schools closed four days, 3/10, 3/13, 3/14 & 3/21, 2006, and the district is requesting two school closure days.","March 14 and 21, 2006",2006,2,37681636105845,San Diego
Junction City Elementary,Junction City Elementary,2006-07,62,Wildfires,Other Wildfires,wildland fire,"September 14 and 15, 2006",2006,2,53717386053771,Trinity
Juvenile Hall-Nielson,Colusa County Office of Education,2005-06,43,Infrastructure,Power Outage,04/24 Power outage,"April 24, 2006",2006,1,,Colusa
Juvenile Hall-Nielson,Colusa County Office of Education,2005-06,43,Natural Disasters & Weather,Inclement Weather,04/14 Impassable roads caused by mud slides,"April 14, 2006",2006,1,,Colusa
Kelseyville Community Day,Kelseyville Unified,2005-06,11,Natural Disasters & Weather,Inclement Weather,Unexpected snowfall. Several bus routes were unable to run due to snow an dice on roads.,"March 3, 2006",2006,1,17640141730159,Lake
Kelseyville Elementary,Kelseyville Unified,2005-06,490,Natural Disasters & Weather,Inclement Weather,Unexpected snowfall. Several bus routes were unable to run due to snow an dice on roads.,"March 3, 2006",2006,1,17640146010607,Lake
Kelseyville High,Kelseyville Unified,2005-06,641,Natural Disasters & Weather,Inclement Weather,Unexpected snowfall. Several bus routes were unable to run due to snow an dice on roads.,"March 3, 2006",2006,1,17640141734359,Lake
Kneeland Elementary,Kneeland Elementary,2005-06,36,Natural Disasters & Weather,Inclement Weather,"Major pacific storms brough heavy rainfall, high winds, and flooding resulting in road closures and no heat, power, water or phone services.","January 3 and 4, 2006",2006,2,12629196008015,Humboldt
Kneeland Elementary,Kneeland Elementary,2005-06,36,Natural Disasters & Weather,Inclement Weather,Heavy snowfall and rainfall caused power outages and road closures.,"March 2, 6 and 10, 2006",2006,3,12629196008015,Humboldt
Lake County International Charter,Middletown Unified,2005-06,91,Natural Disasters & Weather,Inclement Weather,"Snow Storm - All Schools 01/02/06, Cobb Mtn 01/02/06 & 03/03/06
 , Mat.Decrease - Middleton Middle and High Schools","January 2, 2006",2006,1,17640550108340,Lake
Lake Elementary,Vista Unified,2005-06,766,Student Safety,Protests,no emergency - closed due to imigration issue protests,"March 31, 2006",2006,1,37684526107585,San Diego
Lakeside,Lakeside Union,2006-07,640,Infrastructure,Power Outage,power outage due to off site downed power line,"November 20, 2006",2006,1,15635526009666,Kern
Lassen Community Day,Lassen Union High,2005-06,7,Natural Disasters & Weather,Inclement Weather,Impassable roads due to inclement weather.,"March 14, 2006",2006,1,18641390131953,Lassen
Lassen High,Lassen Union High,2005-06,1111,Natural Disasters & Weather,Inclement Weather,Impassable roads due to inclement weather.,"March 14, 2006",2006,1,18641391833805,Lassen
Leffingwell High (Continuation),Coast Unified,2005-06,14,Natural Disasters & Weather,Inclement Weather,Inclement weather caused power outages and mudslides.,"January 3, 2006",2006,1,40754654030144,San Luis Obispo
Lewiston Elementary,Lewiston Elementary,2005-06,92,Infrastructure,Facilities Issues,broken water pipe caused the main water source to be shut off to the entire school,"April 26, 2006",2006,1,53717466053789,Trinity
Lewiston Elementary,Lewiston Elementary,2005-06,92,Infrastructure,Facilities Issues,one hour notice before water company shut off water to the school in order to replace a fire hydrant.,"June 7, 2006",2006,1,53717466053789,Trinity
Lincoln Middle,Oceanside Unified,2005-06,1353,Natural Disasters & Weather,Inclement Weather,closed middle and high schools due to protests,"March 30 and 31, 2006",2006,2,37735696038863,San Diego
